,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
1193,140.0,2019-06-29 13:36:44,3.0,-0.4444444444444444,negative,0.6666666666666667,"@Rhonda523523 @tapatia333 @KamalaHarris Fords story was so vague, it’s tough to prove she lied. Swetnick, on the ot… https://t.co/J0a2LZc0wq",19.0
1194,105.0,2019-06-29 13:36:40,5.0,0.35,positive,0.5,"@iamjeffreyjason @Nike @nikebasketball @Giannis_An34 @kustoo Okay my wallet is ready, I will buy them all",15.0
1195,139.0,2019-06-29 13:36:39,0.0,0.0,neutral,0.0,"Have NOT purchased anything NIKE since that happened, literally threw away anything NIKE I had...they will NOT get… https://t.co/VFTb38K1mr",19.0
1196,109.0,2019-06-29 13:36:22,0.0,-0.125,negative,0.3125,"Tell me again why the women shouldn’t get paid the same as the men ... if not more? 

https://t.co/Yn97lFhgNy",19.0
1197,34.0,2019-06-29 13:36:20,1.0,0.0,neutral,0.0,@Meeynahh The Nike ✔ on ur face 👌🏻,8.0
1198,104.0,2019-06-29 13:36:20,1.0,0.0,neutral,0.0,"@SoleCollector Man Nike company make all the shoes it don’t matter who shoe it is Kobe,Jordan,Lebron etc",17.0
1199,69.0,2019-06-29 13:36:06,3.0,0.0,neutral,0.0,@AntoineThomas24 @Nike @BreThomas24 I had the BGs before the race 😭😭😭,11.0
1200,139.0,2019-06-29 13:36:00,1.0,0.5,positive,0.5,"To get to the top, put your dreams to work.

To celebrate @Giannis_An34’s MVP rise, Nike took this hoop to the top… https://t.co/rbYhp0ydCy",22.0
1201,136.0,2019-06-29 13:35:45,0.0,-0.05555555555555555,negative,0.14444444444444446,"Nike AIR MONARCH IV Mens White Black Red 101 Lace Up Training #Shoes Size 13 $19.99 
View and Buy on Ebay Here:… https://t.co/rpoekgmpnU",23.0
1202,137.0,2019-06-29 13:35:36,1.0,0.0,neutral,0.0,Check out what I just added to my closet on Poshmark: Nike Swim Polka Dot Tankini. https://t.co/UNMQa3OXDE via @poshmarkapp #shopmycloset,20.0
1203,99.0,2019-06-29 13:35:35,0.0,0.0,neutral,0.3,Nike Dunk Low Premium SB Hawaii Men's Size US 10.5  https://t.co/HuUOjNC0TX https://t.co/iW5g6nDLlo,12.0
1204,104.0,2019-06-29 13:35:18,0.0,0.0,neutral,0.0,"NIKE AIR JORDAN 3 RETRO SP “Tinker” “Black/Cement''
👇👇👇👇
https://t.co/KCmkNYOh19 https://t.co/kQa0RV3h8D",9.0
1205,125.0,2019-06-29 13:35:11,0.0,0.08,positive,0.26999999999999996,"Ad: Dropping at 10AM ET!
Air Jordan 1 High OG ""Gym Red""

Eastbay https://t.co/bAZ20QgR5b
Finish Line… https://t.co/5X3HmxbQUO",14.0
1206,121.0,2019-06-29 13:35:07,0.0,0.0,neutral,0.0,(eBay Sponsored) Nike Air Jordan 10 Retro (GS) Westbrook White University Red 310806 160 Size 6y… https://t.co/WHySP70NqI,17.0
1207,138.0,2019-06-29 13:34:07,0.0,-0.2,negative,0.3,Check out NIKE MENS SIZE M MEDIUM KHAKI GREEN LIGHTWEIGHT SUMMER SHORTS #Nike #Shorts https://t.co/SZaOIa3tnB via… https://t.co/wpT5NkHiHq,17.0
1208,88.0,2019-06-29 13:33:41,6.0,0.19285714285714284,positive,0.7178571428571429,@PepperellEddie @Sporf @kobebryant @Giannis_An34 @NBA @Nike Yea right? Was surprised too,11.0
1209,109.0,2019-06-29 13:33:40,0.0,-0.4,negative,0.45,"Rank these initial Nike signature shoes 1-4. 
#Nike #Sneakers #NBATwitter #nbaintheuk https://t.co/4wqzZV0IuK",12.0
