,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
0,67.0,2019-06-29 14:55:34,0.0,0.0,neutral,0.0,Two mile guided run with Nike Coach Bennett https://t.co/OATB5AF88X,9.0
1,137.0,2019-06-29 14:55:32,0.0,0.0,neutral,0.0,"Nike Air Max 720
Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange
Style Code: CK5033-400
Price: $180… https://t.co/aOebK5Z2lk",13.0
2,137.0,2019-06-29 14:55:31,0.0,0.0,neutral,0.0,"Nike Air Max 720
Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange
Style Code: CK5033-400
Price: $180… https://t.co/qjFRhTrac9",13.0
3,137.0,2019-06-29 14:55:29,0.0,0.0,neutral,0.0,"Nike Air Max 720
Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange
Style Code: CK5033-400
Price: $180… https://t.co/1YdQDEP49u",13.0
4,22.0,2019-06-29 14:55:20,1.0,0.0,neutral,0.0,@Largojajjaja Nike!!!!,2.0
5,139.0,2019-06-29 14:55:17,1.0,0.4,positive,0.8,"Adding to cart via @footlocker 
Nike Zoom Freak 1 ""All Bros"" with free shipping 

BUY HERE: https://t.co/yvrfw2AMh6 https://t.co/Dn4GQC8N5W",18.0
6,31.0,2019-06-29 14:55:15,1.0,0.0,neutral,0.0,"@wolftyla Like Nike, Just Do It",6.0
7,20.0,2019-06-29 14:55:00,1.0,0.0,neutral,0.0,@SportsbyBrooks NIKE,2.0
8,67.0,2019-06-29 14:55:00,0.0,0.0,neutral,0.0,Two mile guided run with Nike Coach Bennett https://t.co/cjZTaEsol0,9.0
9,140.0,2019-06-29 14:54:54,5.0,0.24285714285714285,positive,0.3678571428571429,@mksz2010 @svqjournalist @Nike @UnderArmour @adidas Please consider sending much needed shoes to children right out… https://t.co/6CVbLPFyRd,16.0
10,95.0,2019-06-29 14:54:54,0.0,0.25,positive,0.5,The Nike LeBron Solider 13 Looks Ready for Blast Off! - Sneaker Freaker https://t.co/oAnCGp61xJ,14.0
11,129.0,2019-06-29 14:54:51,0.0,0.0,neutral,0.0,Check out what I just added to my closet on Poshmark: Nike LSU Tigers Gray Purple Polo Shirt Size Small.… https://t.co/RZacS2TNkY,21.0
12,140.0,2019-06-29 14:54:50,0.0,0.4,positive,0.4,"https://t.co/3QwbZCZXu9
2019 Nike Air Fear Of God 1 Sail
Sizes Available: 9
Price: $575
•
•
⚡️ALL ITEMS ON THE WEBS… https://t.co/OGofL5Ffi2",16.0
13,30.0,2019-06-29 14:54:47,1.0,0.0,neutral,0.0,@BTS_twt Aaaah now I know why!,6.0
14,55.0,2019-06-29 14:54:36,1.0,0.5,positive,0.44999999999999996,@WBG84 How much is he paying him to stay at Nike U? Lol,13.0
15,127.0,2019-06-29 14:54:33,2.0,0.05,positive,0.25,"Big Steppa! 👟
•
•
•
@nike x @obj_3 “Young King of the Drip” Air Max 720 💦💦💦
•
•
#AirMax720 #OBJ #OBJ13… https://t.co/w7100ypaf0",17.0
16,71.0,2019-06-29 14:54:04,0.0,0.5,positive,0.5,The 5 MOST HYPED Supreme x Nike sneakers ever 🔥 https://t.co/LctYKW0gn6,11.0
17,140.0,2019-06-29 14:53:55,1.0,0.008928571428571425,positive,0.5892857142857143,@VegasDUCKfan58 Those shorts are sick though. Everything else is pretty generic. Looks mostly like a majority of ou… https://t.co/P9tBcPjUIX,19.0
18,106.0,2019-06-29 14:53:33,0.0,0.0,neutral,0.0,"Damn, i think i got like 5 pairs, need to check emails, wife even hit on nike...wtf...all will be for sale",21.0
19,68.0,2019-06-29 14:53:31,1.0,0.0,neutral,0.0,"@CoachCryptos In crypto Ripple, Tron, Binance
Non crypto Apple, Nike",9.0
20,134.0,2019-06-29 14:53:31,2.0,0.375,positive,0.75,"The @nike x @strangerthingstv collab, are you excited for season 3? ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#strangerthings #nike #breakfast https://t.co/vW424S0tNa",15.0
21,133.0,2019-06-29 14:52:54,0.0,0.33,positive,0.72,"The Air Jordan 1 Retro High OG is yours. Share your latest pick up with your friends.
https://t.co/EXtMoXV8AF https://t.co/DMwrYTdB5y",18.0
22,55.0,2019-06-29 14:52:53,0.0,0.2,positive,0.30000000000000004,"Nike the real designer brand, they doing number numbers",9.0
23,41.0,2019-06-29 14:52:50,2.0,0.0,neutral,0.0,@speccyjimbo @bsgorrie Nike staunch 1690.,5.0
