,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
0,63.0,2019-06-23 23:59:57,0.0,0.0,neutral,0.0,Taking recommendations on Netflix shows. Anybody got some gems?,9.0
1,28.0,2019-06-23 23:59:56,0.0,0.0,neutral,0.0,Noche de netflix y pizzas🥰🌼🌸,5.0
2,140.0,2019-06-23 23:59:55,4.0,0.03125,positive,0.65,@lylldy @theHetal @JPLFR80 @matthew_ashford Really? The show isn't dead? Wow talk about longevity! I only have netf… https://t.co/EtJ1y4k0sb,18.0
3,140.0,2019-06-23 23:59:53,0.0,0.475,positive,0.8,Watched Wandering Earth on Netflix after reading this article and it is pretty good. Read The Three Body problem ea… https://t.co/SC2MubtOc0,21.0
4,140.0,2019-06-23 23:59:52,2.0,0.0,neutral,0.625,"@netflix @fluffyguy Me and the wifey just watched the entire season of Mr. Iglesias, being a teacher dude you kille… https://t.co/quKXe4rQBt",21.0
5,128.0,2019-06-23 23:59:49,0.0,0.39999999999999997,positive,0.3666666666666667,Netflix says it won't 'make any more' episodes of Amazon Prime's 'Good Omens' after Christian petition https://t.co/4J5nRZM44T -,18.0
6,136.0,2019-06-23 23:59:49,2.0,0.5687500000000001,positive,0.6,"@brianleeofcl @netflix That would be AMAZING....!!
I don’t recognize any of the artists but it’s still very fun… https://t.co/PYJLCN5bR3",18.0
7,41.0,2019-06-23 23:59:43,0.0,0.2,positive,0.9,"Absolute gold. 😂

https://t.co/sVWQR51h3Y",3.0
8,66.0,2019-06-23 23:59:41,4.0,0.0,neutral,0.0,@TanyaBarlow9 @netflix @shondarhimes @BeersBetsy I feel ya #nohope,8.0
9,126.0,2019-06-23 23:59:41,2.0,-0.5,negative,1.0,"@Stranger_Things @netflix Don’t mind me I’m just preparing snacks,CAUSE ILL BE BINGE WATCHING ALL THIS https://t.co/cTPgf29fpn",16.0
10,31.0,2019-06-23 23:59:35,0.0,-0.09999999999999998,negative,0.7,Netflix &amp; food by my lonely,6.0
11,133.0,2019-06-23 23:59:26,8.0,0.0,neutral,0.0,@StarTrekOT @DumbledoreJr @OriginalSorotia @NihilusShadow @C_Marb @JordanB39335071 @trekonomicsbot @Stelzi79… https://t.co/SxxthPhsYp,9.0
12,134.0,2019-06-23 23:59:20,1.0,0.2,positive,0.2,"Yo @MarlonWayans
Just realized ABC's ""Marlon"" got cancelled. You really nailed it with season 1 and 2. 
Maybe… https://t.co/k5vih4omsx",18.0
